Names,Price,Reviews,Link
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","₹1,169
₹1,299 (10% off)",684,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTU4NzMzMDgwMzU4MTE3OjE2NzU0Mjg4NzE6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675428871%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS
"Amazon Basics - Laptop Backpack/Casual Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Lightweight, Sleek and Modern Design","₹1,209
₹3,699 (67% off)",1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTU4NzMzMDgwMzU4MTE3OjE2NzU0Mjg4NzE6c3BfYXRmOjIwMTE1NDYwNjg3MDk4OjowOjo&url=%2FAmazon-Basics-Modern-Lightweight-Backpack%2Fdp%2FB09W4ZPP3D%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675428871%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),"₹565
₹1,199 (53% off)","9,233",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675428871&sprefix=ba%2Caps%2C283&sr=8-3
Skybags Brat Black 46 Cms Casual Backpack,"₹669
₹2,100 (68% off)","3,372",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675428871&sprefix=ba%2Caps%2C283&sr=8-4
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,299
₹2,300 (44% off)","51,379",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675428871&sprefix=ba%2Caps%2C283&sr=8-5
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),"₹1,900",12,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675428871&sprefix=ba%2Caps%2C283&sr=8-6
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"₹499
₹1,799 (72% off)",463,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675428871&sprefix=ba%2Caps%2C283&sr=8-7
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,"₹1,247
₹2,899 (57% off)","4,881",https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675428871&sprefix=ba%2Caps%2C283&sr=8-8
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)","₹889
₹4,000 (78% off)","5,318",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675428871&sprefix=ba%2Caps%2C283&sr=8-9
Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,"₹349
₹499 (30% off)","7,634",https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675428871&sprefix=ba%2Caps%2C283&sr=8-10
